17530,# doc = music.2.txt,,,,,,,,,,,,,,,,
17531,# speaker = Ars,,,,,,,,,,,,,,,,
17532,# sent = 1308,,,,,,,,,,,,,,,,
17533,,Вот,ВОТ,PART,,,"   _Вот_ , музыку писать",т,о,в,,,,PART,ВОТ,PART,Т
17534,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17535,,музыку,МУЗЫКА,S f inan acc sg,,," Вот , _музыку_ писать очень легко",у,к,ы,з,у,м,S,МУЗЫКА,S f inan acc sg,А
17536,,писать,ПИСАТЬ,V ipf - - inf - -,,,"Вот , музыку _писать_ очень легко .",ь,т,а,с,и,п,V,ПИСАТЬ,V ipf - - inf - -,Ь
17537,,очень,ОЧЕНЬ,ADV -,,,", музыку писать _очень_ легко . ",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
17538,,легко,ЛЕГКО,PRAEDIC,,,музыку писать очень _легко_ .  ,о,к,г,е,л,,PRAEDIC,ЛЕГКО,ADV -,О
17539,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17540,,,,,,,,,,,,,,,,,
17541,# sent = 1309,,,,,,,,,,,,,,,,
17542,,На,НА,PR,,,.   _На_ самом деле .,а,н,,,,,PR,НА,PR,А
17543,,самом,САМЫЙ,A - loc sg plen n -,,,  На _самом_ деле . ,м,о,м,а,с,,A,САМЫЙ,A - loc sg plen n -,Й
17544,,деле,ДЕЛО,S n inan loc sg,,, На самом _деле_ .  ,е,л,е,д,,,S,ДЕЛО,S n inan loc sg,О
17545,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17546,,,,,,,,,,,,,,,,,
17547,# sent = 1310,,,,,,,,,,,,,,,,
17548,,Если,ЕСЛИ,CONJ,,,.   _Если_ к этому подходить,и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
17549,,к,К,PR,,,  Если _к_ этому подходить …,к,,,,,,PR,К,PR,К
17550,,этому,ЭТО,SPRO n - dat sg,,, Если к _этому_ подходить … эээ,у,м,о,т,э,,SPRO,ЭТО,S n inan dat sg,О
17551,,подходить,ПОДХОДИТЬ,V ipf - - inf - -,,,Если к этому _подходить_ … эээ …,ь,т,и,д,о,х,V,ПОДХОДИТЬ,V ipf - - inf - -,Ь
17552,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17553,,эээ,ЭЭЭ,NONLEX,distort,,этому подходить … _эээ_ … с конструктивного,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
17554,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17555,,с,С,PR,,,… эээ … _с_ конструктивного подхода .,с,,,,,,PR,С,PR,С
17556,,конструктивного,КОНСТРУКТИВНЫЙ,A - gen sg plen n -,,,эээ … с _конструктивного_ подхода . ,о,г,о,н,в,и,A,КОНСТРУКТИВНЫЙ,A - gen sg plen n -,Й
17557,,подхода,ПОДХОД,S m inan gen sg,,,… с конструктивного _подхода_ .  ,а,д,о,х,д,о,S,ПОДХОД,S m inan gen sg,Д
17558,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17559,,,,,,,,,,,,,,,,,
17560,# sent = 1311,,,,,,,,,,,,,,,,
17561,,Просто,ПРОСТО,ADV,,,.   _Просто_ берешь из разных,о,т,с,о,р,п,PART,ПРОСТО,PART,О
17562,,берешь,БРАТЬ,V ipf praes sg indic - 2p,,,  Просто _берешь_ из разных стилей,ь,ш,е,р,е,б,V,БРАТЬ,V ipf praes sg indic - 2p,Ь
17563,,из,ИЗ,PR,,, Просто берешь _из_ разных стилей все,з,и,,,,,PR,ИЗ,PR,З
17564,,разных,РАЗНЫЙ,A - gen pl plen - -,,,Просто берешь из _разных_ стилей все самое,х,ы,н,з,а,р,A,РАЗНЫЙ,A - gen pl plen - -,Й
17565,,стилей,СТИЛЬ,S m inan gen pl,,,берешь из разных _стилей_ все самое крутое,й,е,л,и,т,с,S,СТИЛЬ,S m inan gen pl,Ь
17566,,все,ВСЕ,SPRO n - acc sg,,,из разных стилей _все_ самое крутое …,е,с,в,,,,S,ВСЕ,S - - acc pl,Е
17567,,самое,САМЫЙ,A - nom sg plen n -,,,разных стилей все _самое_ крутое … хммм,е,о,м,а,с,,A,САМЫЙ,A - nom sg plen n -,Й
17568,,крутое,КРУТОЙ,A - acc sg plen n inan,,,стилей все самое _крутое_ … хммм …,е,о,т,у,р,к,A,КРУТОЙ,A - acc sg plen n inan,Й
17569,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17570,,хммм,ХМММ,NONLEX,distort,,самое крутое … _хммм_ … что-то придумываешь,м,м,м,х,,,NONLEX,ХМММ,NONLEX,М
17571,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17572,,что-то,ЧТО-ТО,SPRO n inan nom sg,,,"… хммм … _что-то_ придумываешь , ",о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - nom sg,О
17573,,придумываешь,ПРИДУМЫВАТЬ,V ipf praes sg indic - 2p,,,"хммм … что-то _придумываешь_ ,  шо",ь,ш,е,а,в,ы,V,ПРИДУМЫВАТЬ,V ipf praes sg indic - 2p,Ь
17574,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17575,"<distinct form=""",,,,,,,,,,,,,,,,
17576,<dist>,шо,ЧТО,,,,,,,,,,,,,,
17577,""">",,,,,,,,,,,,,,,,
17578,,что,ЧТО,CONJ,,, шо  _что_  тебе первое,о,т,ч,,,,CONJ,ЧТО,CONJ,О
17579,</distinct>,,,,,,,,,,,,,,,,
17580,,тебе,ТЫ,SPRO sg 2p - dat,,, что  _тебе_ первое в голову,е,б,е,т,,,SPRO,ТЫ,SPRO sg 2p - dat,Ы
17581,,первое,ПЕРВЫЙ,ANUM - nom sg plen n -,,,что  тебе _первое_ в голову приходит,е,о,в,р,е,п,A,ПЕРВЫЙ,A - nom sg plen n -,Й
17582,,в,В,PR,,, тебе первое _в_ голову приходит .,в,,,,,,PR,В,PR,В
17583,,голову,ГОЛОВА,S f inan acc sg,,,тебе первое в _голову_ приходит . ,у,в,о,л,о,г,S,ГОЛОВА,S f inan acc sg,А
17584,,приходит,ПРИХОДИТЬ,V ipf praes sg indic - 3p,,,первое в голову _приходит_ .  ,т,и,д,о,х,и,V,ПРИХОДИТЬ,V ipf praes sg indic - 3p,Ь
17585,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17586,,,,,,,,,,,,,,,,,
17587,# sent = 1312,,,,,,,,,,,,,,,,
17588,,Например,НАПРИМЕР,PARENTH,,,.   _Например_ … ээээ ...,р,е,м,и,р,п,ADV,НАПРИМЕР,ADV -,Р
17589,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17590,,ээээ,ЭЭЭЭ,INTJ,distort,, Например … _ээээ_ ... диско -,э,э,э,э,,,INTJ,ЭЭЭЭ,INTJ,Э
17591,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
17592,,диско,ДИСКО,COM,слитно,,… ээээ ... _диско_ - панк !,о,к,с,и,д,,COM,ДИСКО,S n inan nonflex -,О
17593,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17594,,панк,ПАНК,S m anim nom sg,,,... диско - _панк_ !  ,к,н,а,п,,,S,ПАНК,S m anim nom sg,К
17595,,!,!,PUNCT,,,,,,,,,,PUNCT,,,
17596,,,,,,,,,,,,,,,,,
17597,# sent = 1313,,,,,,,,,,,,,,,,
17598,,Почему,ПОЧЕМУ,ADV -,,,!   _Почему_ бы и нет,у,м,е,ч,о,п,ADV,ПОЧЕМУ,ADV -,У
17599,,бы,БЫ,PART,,,  Почему _бы_ и нет ?,ы,б,,,,,PART,БЫ,PART,Ы
17600,,и,И,CONJ,,, Почему бы _и_ нет ? ,и,,,,,,CONJ,И,CONJ,И
17601,,нет,НЕТ,PART,,,Почему бы и _нет_ ?  ,т,е,н,,,,PART,НЕТ,PART,Т
17602,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
17603,,,,,,,,,,,,,,,,,
17604,# sent = 1314,,,,,,,,,,,,,,,,
17605,,Ты,ТЫ,SPRO sg 2p - nom,,,?   _Ты_ берешь какие-нибудь рифы,ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
17606,,берешь,БРАТЬ,V ipf praes sg indic - 2p,,,  Ты _берешь_ какие-нибудь рифы у,ь,ш,е,р,е,б,V,БРАТЬ,V ipf praes sg indic - 2p,Ь
17607,,какие-нибудь,КАКОЙ-НИБУДЬ,APRO - acc pl plen ,,, Ты берешь _какие-нибудь_ рифы у панк,ь,д,у,б,и,н,APRO,КАКОЙ-НИБУДЬ,A - nom pl plen - -,Ь
17608,,рифы,РИФ,S m inan nom pl,,,Ты берешь какие-нибудь _рифы_ у панк -,ы,ф,и,р,,,S,РИФ,S m inan nom pl,Ф
17609,,у,У,PR,,,берешь какие-нибудь рифы _у_ панк - рока,у,,,,,,PR,У,PR,У
17610,,панк,ПАНК,S m anim nom sg,,,"какие-нибудь рифы у _панк_ - рока ,",к,н,а,п,,,S,ПАНК,S m anim nom sg,К
17611,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17612,,рока,РОК,S m inan gen sg,,,"у панк - _рока_ , гитарные ,",а,к,о,р,,,S,РОК,S m inan gen sg,К
17613,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17614,,гитарные,ГИТАРНЫЙ,A - nom pl plen - -,,,"- рока , _гитарные_ , и накладываешь",е,ы,н,р,а,т,A,ГИТАРНЫЙ,A - nom pl plen - -,Й
17615,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17616,,и,И,CONJ,,,", гитарные , _и_ накладываешь это на",и,,,,,,CONJ,И,CONJ,И
17617,,накладываешь,НАКЛАДЫВАТЬ,V ipf praes sg indic - 2p,,,"гитарные , и _накладываешь_ это на подвижное",ь,ш,е,а,в,ы,V,НАКЛАДЫВАТЬ,V ipf praes sg indic - 2p,Ь
17618,,это,ЭТО,SPRO n - acc sg,,,", и накладываешь _это_ на подвижное диско",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
17619,,на,НА,PR,,,и накладываешь это _на_ подвижное диско -,а,н,,,,,PR,НА,PR,А
17620,,подвижное,ПОДВИЖНЫЙ,A - nom sg plen n -,,,накладываешь это на _подвижное_ диско - ударные,е,о,н,ж,и,в,A,ПОДВИЖНЫЙ,A - nom sg plen n -,Й
17621,,диско,ДИСКО,COM,слитно,,это на подвижное _диско_ - ударные на,о,к,с,и,д,,COM,ДИСКО,S n inan nonflex -,О
17622,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17623,,ударные,УДАРНЫЙ,A - nom pl plen - -,,,подвижное диско - _ударные_ на диско -,е,ы,н,р,а,д,A,УДАРНЫЙ,A - nom pl plen - -,Й
17624,,на,НА,PR,,,диско - ударные _на_ диско - и,а,н,,,,,PR,НА,PR,А
17625,,диско,ДИСКО,S n inan loc sg,,,"- ударные на _диско_ - и ,",о,к,с,и,д,,S,ДИСКО,S n inan nonflex -,О
17626,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17627,,и,И,CONJ,,,"на диско - _и_ , к примеру",и,,,,,,CONJ,И,CONJ,И
17628,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17629,,к,К,PR,,,"- и , _к_ примеру , можно",к,,,,,,PR,К,PR,К
17630,,примеру,ПРИМЕР,S m inan dat sg,,,"и , к _примеру_ , можно смешать",у,р,е,м,и,р,S,ПРИМЕР,S m inan dat sg,Р
17631,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17632,,можно,МОЖНО,PRAEDIC,,,"к примеру , _можно_ смешать … ааам",о,н,ж,о,м,,PRAEDIC,МОЖНО,PRAEDIC,О
17633,,смешать,СМЕШАТЬ,V tran pf inf act,,,"примеру , можно _смешать_ … ааам …",ь,т,а,ш,е,м,V,СМЕШАТЬ,V pf - - inf - -,Ь
17634,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17635,,ааам,АААМ,INTJ,distort,,можно смешать … _ааам_ … вокал панк,м,а,а,а,,,INTJ,АААМ,S m anim nom sg,М
17636,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17637,,вокал,ВОКАЛ,S m inan nom sg,,,… ааам … _вокал_ панк - рока,л,а,к,о,в,,S,ВОКАЛ,S m inan nom sg,Л
17638,,панк,ПАНК,S m anim nom sg,,,ааам … вокал _панк_ - рока с,к,н,а,п,,,S,ПАНК,S m anim nom sg,К
17639,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17640,,рока,РОК,S m inan gen sg,,,вокал панк - _рока_ с подпевками с,а,к,о,р,,,S,РОК,S m inan gen sg,К
17641,,с,С,PR,,,панк - рока _с_ подпевками с бэк,с,,,,,,PR,С,PR,С
17642,,подпевками,ПОДПЕВКА,S f inan acc sg,,,- рока с _подпевками_ с бэк -,и,м,а,к,в,е,S,ПОДПЕВКА,S f inan acc sg,А
17643,,с,С,PR,,,рока с подпевками _с_ бэк - вокала,с,,,,,,PR,С,PR,С
17644,,бэк,БЭК,NONFLEX,distort слитно,,с подпевками с _бэк_ - вокала .,к,э,б,,,,S,БЭК,S m inan acc sg,К
17645,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17646,,вокала,ВОКАЛ,S m inan gen sg,,,с бэк - _вокала_ .  ,а,л,а,к,о,в,S,ВОКАЛ,S m inan gen sg,Л
17647,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17648,,,,,,,,,,,,,,,,,
17649,# sent = 1315,,,,,,,,,,,,,,,,
17650,,Ну,НУ,PART,,,".   _Ну_ что-то , вот",у,н,,,,,PART,НУ,PART,У
17651,,что-то,ЧТО-ТО,SPRO n inan acc sg,,,"  Ну _что-то_ , вот ,",о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
17652,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17653,,вот,ВОТ,PART,,,"Ну что-то , _вот_ , я сейчас",т,о,в,,,,PART,ВОТ,PART,Т
17654,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17655,,я,Я,SPRO sg 1p - nom,,,", вот , _я_ сейчас просто на",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
17656,,сейчас,СЕЙЧАС,ADV -,,,"вот , я _сейчас_ просто на ходу",с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
17657,,просто,ПРОСТО,ADV,,,", я сейчас _просто_ на ходу придумываю",о,т,с,о,р,п,PART,ПРОСТО,PART,О
17658,,на,НА,PR,,,я сейчас просто _на_ ходу придумываю .,а,н,,,,,PR,НА,PR,А
17659,,ходу,ХОД,S m inan loc2 sg,,,сейчас просто на _ходу_ придумываю . ,у,д,о,х,,,S,ХОД,S m inan loc2 sg,Д
17660,,придумываю,ПРИДУМЫВАТЬ,V ipf praes sg indic - 1p,,,просто на ходу _придумываю_ .  ,ю,а,в,ы,м,у,V,ПРИДУМЫВАТЬ,V ipf praes sg indic - 1p,Ь
17661,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17662,,,,,,,,,,,,,,,,,
17663,# sent = 1316,,,,,,,,,,,,,,,,
17664,"<distinct form=""",,,,,,,,,,,,,,,,
17665,<dist>,шо-то,ЧТО-ТО,,,,,,,,,,,,,,
17666,""">",,,,,,,,,,,,,,,,
17667,,что-то,ЧТО-ТО,SPRO n inan acc sg,,, шо-то  _что-то_  такое .,о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
17668,</distinct>,,,,,,,,,,,,,,,,
17669,,такое,ТАКОЙ,APRO - nom sg plen n -,,, что-то  _такое_ .  ,е,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen n -,Й
17670,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17671,,,,,,,,,,,,,,,,,
17672,# sent = 1317,,,,,,,,,,,,,,,,
17673,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
17674,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17675,,,,,,,,,,,,,,,,,
17676,# sent = 1318,,,,,,,,,,,,,,,,
17677,,Ааа,ААА,INTJ,distort,,.   _Ааа_ …  ,а,а,а,,,,INTJ,ААА,S m inan nonflex -,А
17678,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17679,,,,,,,,,,,,,,,,,
17680,# sent = 1319,,,,,,,,,,,,,,,,
17681,"<distinct form=""",,,,,,,,,,,,,,,,
17682,<dist>,эт,ЭТО,,distort,,,,,,,,,,,,
17683,""">",,,,,,,,,,,,,,,,
17684,,это,ЭТО,SPRO n - nom sg,,," эт  _это_  сложно ,",о,т,э,,,,SPRO,ЭТО,S n - acc sg,О
17685,</distinct>,,,,,,,,,,,,,,,,
17686,,сложно,СЛОЖНЫЙ,A - - sg brev n -,,," это  _сложно_ , если только",о,н,ж,о,л,с,A,СЛОЖНЫЙ,A - - sg brev n -,Й
17687,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17688,,если,ЕСЛИ,CONJ,,," сложно , _если_ только ты не",и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
17689,,только,ТОЛЬКО,PART,,,"сложно , если _только_ ты не …",о,к,ь,л,о,т,PART,ТОЛЬКО,PART,О
17690,,ты,ТЫ,SPRO sg 2p - nom,,,", если только _ты_ не … эээээ",ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
17691,,не,НЕ,PART,,,если только ты _не_ … эээээ …,е,н,,,,,PART,НЕ,PART,Е
17692,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17693,,эээээ,ЭЭЭЭЭ,NONLEX,distort,,ты не … _эээээ_ … у тебя,э,э,э,э,э,,NONLEX,ЭЭЭЭЭ,NONLEX,Э
17694,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17695,,у,У,PR,,,… эээээ … _у_ тебя нет багажа,у,,,,,,PR,У,PR,У
17696,,тебя,ТЫ,SPRO sg 2p - acc,,,эээээ … у _тебя_ нет багажа большого,я,б,е,т,,,SPRO,ТЫ,SPRO sg 2p - acc,Ы
17697,,нет,НЕТ,ADV -,,,… у тебя _нет_ багажа большого музыкального,т,е,н,,,,ADV,НЕТ,ADV -,Т
17698,,багажа,БАГАЖ,S m inan gen sg,,,у тебя нет _багажа_ большого музыкального .,а,ж,а,г,а,б,S,БАГАЖ,S m inan gen sg,Ж
17699,,большого,БОЛЬШОЙ,A - gen sg plen m inan,,,тебя нет багажа _большого_ музыкального . ,о,г,о,ш,ь,л,A,БОЛЬШОЙ,A - gen sg plen n -,Й
17700,,музыкального,МУЗЫКАЛЬНЫЙ,A - gen sg plen n -,,,нет багажа большого _музыкального_ .  ,о,г,о,н,ь,л,A,МУЗЫКАЛЬНЫЙ,A - gen sg plen n -,Й
17701,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17702,,,,,,,,,,,,,,,,,
17703,# sent = 1320,,,,,,,,,,,,,,,,
17704,,Если,ЕСЛИ,CONJ,,,.   _Если_ у  тя,и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
17705,,у,У,PR,,,  Если _у_  тя ,у,,,,,,PR,У,PR,У
17706,"<distinct form=""",,,,,,,,,,,,,,,,
17707,<dist>,тя,ТЕБЯ,,distort,,,,,,,,,,,,
17708,""">",,,,,,,,,,,,,,,,
17709,,тебя,ТЫ,SPRO sg 2p - acc,,, тя  _тебя_  есть большой,я,б,е,т,,,SPRO,ТЫ,SPRO sg 2p - acc,Ы
17710,</distinct>,,,,,,,,,,,,,,,,
17711,,есть,БЫТЬ,V ipf praes sg indic - 3p,,, тебя  _есть_ большой музыкальный багаж,ь,т,с,е,,,V,БЫТЬ,V ipf praes sg indic - 3p,Ь
17712,,большой,БОЛЬШОЙ,A - acc sg plen m inan,,,"тебя  есть _большой_ музыкальный багаж ,",й,о,ш,ь,л,о,A,БОЛЬШОЙ,A - acc sg plen m inan,Й
17713,,музыкальный,МУЗЫКАЛЬНЫЙ,A - acc sg plen m inan,,," есть большой _музыкальный_ багаж , есть",й,ы,н,ь,л,а,A,МУЗЫКАЛЬНЫЙ,A - acc sg plen m inan,Й
17714,,багаж,БАГАЖ,S m inan nom sg,,,"есть большой музыкальный _багаж_ , есть образование",ж,а,г,а,б,,S,БАГАЖ,S m inan acc sg,Ж
17715,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17716,,есть,БЫТЬ,V ipf praes sg indic - 3p,,,"музыкальный багаж , _есть_ образование - ",ь,т,с,е,,,V,БЫТЬ,V ipf praes sg indic - 3p,Ь
17717,,образование,ОБРАЗОВАНИЕ,S n inan acc sg,,,"багаж , есть _образование_ -  эт",е,и,н,а,в,о,S,ОБРАЗОВАНИЕ,S n inan acc sg,Е
17718,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17719,"<distinct form=""",,,,,,,,,,,,,,,,
17720,<dist>,эт,ЭТО,,distort,,,,,,,,,,,,
17721,""">",,,,,,,,,,,,,,,,
17722,,это,ЭТО,SPRO n - nom sg,,, эт  _это_  вопрос времени,о,т,э,,,,SPRO,ЭТО,S n - acc sg,О
17723,</distinct>,,,,,,,,,,,,,,,,
17724,,вопрос,ВОПРОС,S m inan nom sg,,, это  _вопрос_ времени . ,с,о,р,п,о,в,S,ВОПРОС,S m inan nom sg,С
17725,,времени,ВРЕМЯ,S n inan gen sg,,,это  вопрос _времени_ .  ,и,н,е,м,е,р,S,ВРЕМЯ,S n inan gen sg,Я
17726,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17727,,,,,,,,,,,,,,,,,
17728,# sent = 1321,,,,,,,,,,,,,,,,
17729,,Просто,ПРОСТО,ADV,,,.   _Просто_ сидишь и пишешь,о,т,с,о,р,п,PART,ПРОСТО,PART,О
17730,,сидишь,СИДЕТЬ,V ipf praes sg indic - 2p,,,  Просто _сидишь_ и пишешь .,ь,ш,и,д,и,с,V,СИДЕТЬ,V ipf praes sg indic - 2p,Ь
17731,,и,И,CONJ,,, Просто сидишь _и_ пишешь . ,и,,,,,,CONJ,И,CONJ,И
17732,,пишешь,ПИСАТЬ,V ipf praes sg indic - 2p,,,Просто сидишь и _пишешь_ .  ,ь,ш,е,ш,и,п,V,ПИСАТЬ,V ipf praes sg indic - 2p,Ь
17733,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17734,,,,,,,,,,,,,,,,,
17735,# sent = 1322,,,,,,,,,,,,,,,,
17736,,Вот,ВОТ,PART,,,.   _Вот_ …  ,т,о,в,,,,PART,ВОТ,PART,Т
17737,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17738,,,,,,,,,,,,,,,,,
17739,# sent = 1323,,,,,,,,,,,,,,,,
17740,,Просто,ПРОСТО,ADV ,,,…   _Просто_ какую-то музыку .,о,т,с,о,р,п,ADV,ПРОСТО,ADV -,О
17741,,какую-то,КАКОЙ-ТО,APRO - acc sg plen f inan,,,  Просто _какую-то_ музыку . ,о,т,-,ю,у,к,APRO,КАКОЙ-ТО,A - acc sg plen f inan,О
17742,,музыку,МУЗЫКА,S f inan acc sg,,, Просто какую-то _музыку_ .  ,у,к,ы,з,у,м,S,МУЗЫКА,S f inan acc sg,А
17743,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17744,,,,,,,,,,,,,,,,,
17745,# sent = 1324,,,,,,,,,,,,,,,,
17746,,Просто,ПРОСТО,ADV ,,,.   _Просто_ чтобы она была,о,т,с,о,р,п,ADV,ПРОСТО,ADV -,О
17747,,чтобы,ЧТОБЫ,CONJ,,,  Просто _чтобы_ она была как-то,ы,б,о,т,ч,,CONJ,ЧТОБЫ,CONJ,Ы
17748,,она,ОНА,SPRO sg 3p f nom,,, Просто чтобы _она_ была как-то хоть,а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
17749,,была,БЫТЬ,V ipf praet sg indic f -,,,Просто чтобы она _была_ как-то хоть ,а,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic f -,Ь
17750,,как-то,КАК-ТО,ADV -,,,чтобы она была _как-то_ хоть  че-то,о,т,-,к,а,к,ADV,КАК-ТО,ADV -,О
17751,,хоть,ХОТЬ,PART,,,она была как-то _хоть_  че-то ,ь,т,о,х,,,PART,ХОТЬ,PART,Ь
17752,"<distinct form=""",,,,,,,,,,,,,,,,
17753,<dist>,че-то,ЧТО-ТО,,distort,,,,,,,,,,,,
17754,""">",,,,,,,,,,,,,,,,
17755,,что-то,ЧТО-ТО,SPRO n inan acc sg,,, че-то  _что-то_  как-то востребована,о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
17756,</distinct>,,,,,,,,,,,,,,,,
